object_key,course_id,course_title,type,path,name,aliases,keywords,priority,enabled,notes,source_status
course-2:ba7f26f3ce14b930,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/define-data-property/.github,.github,,,0,TRUE,,active
course-2:7ee1706fe6170d7c,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/define-data-property/test,test,,,0,TRUE,,active
course-2:b1c6b6064f6ce182,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/define-data-property/.eslintrc,.eslintrc,,,0,TRUE,,active
course-2:e88e79195f741805,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/define-data-property/.nycrc,.nycrc,,,0,TRUE,,active
course-2:3997875d7b05ea5e,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/define-data-property/CHANGELOG.md,CHANGELOG.md,,,0,TRUE,,active
course-2:f997d7d1dc425379,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/define-data-property/LICENSE,LICENSE,,,0,TRUE,,active
course-2:257f9d08f3404a59,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/define-data-property/README.md,README.md,,,0,TRUE,,active
course-2:7799a379440d62fd,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/define-data-property/index.d.ts,index.d.ts,,,0,TRUE,,active
course-2:af211f44c6e8bc59,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/define-data-property/tsconfig.json,tsconfig.json,,,0,TRUE,,active
course-2:a6b19bd9737bb70a,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/depd/lib,lib,,,0,TRUE,,active
course-2:5661f7f6086a24da,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/depd/History.md,History.md,,,0,TRUE,,active
course-2:c11680a4132a04c1,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/depd/LICENSE,LICENSE,,,0,TRUE,,active
course-2:6808c4ce2cd82d5b,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/depd/Readme.md,Readme.md,,,0,TRUE,,active
course-2:38f41e3729b1c891,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/destroy/LICENSE,LICENSE,,,0,TRUE,,active
course-2:8f62e9c62b7d201d,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/destroy/README.md,README.md,,,0,TRUE,,active
course-2:38bd074b5d508c60,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/ee-first/LICENSE,LICENSE,,,0,TRUE,,active
course-2:fcda2e284e82ef6c,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/ee-first/README.md,README.md,,,0,TRUE,,active
course-2:fc76e46649ca73c4,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/encodeurl/LICENSE,LICENSE,,,0,TRUE,,active
course-2:ddb1becc3b5e8134,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/encodeurl/README.md,README.md,,,0,TRUE,,active
course-2:b5264b6dc8ac6de6,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/encodeurl/index.js,index.js,,,0,TRUE,,active
course-2:519127c7aadf96ba,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/encodeurl/package.json,package.json,,,0,TRUE,,active
course-2:9178a3e9b1ee77da,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/es-define-property/.github,.github,,,0,TRUE,,active
course-2:ab40d0f97c9c39a7,course-2,Курс 2,folder,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/es-define-property/test,test,,,0,TRUE,,active
course-2:1aff7033dab007e2,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/es-define-property/.eslintrc,.eslintrc,,,0,TRUE,,active
course-2:d9edd23fdb307ee3,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/es-define-property/.nycrc,.nycrc,,,0,TRUE,,active
course-2:bbf0f540be6937a5,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/es-define-property/CHANGELOG.md,CHANGELOG.md,,,0,TRUE,,active
course-2:016ad1a7d60343b3,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/es-define-property/LICENSE,LICENSE,,,0,TRUE,,active
course-2:d0147e72aca83c4c,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/es-define-property/README.md,README.md,,,0,TRUE,,active
course-2:4c1f613ab6a20982,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/es-define-property/index.d.ts,index.d.ts,,,0,TRUE,,active
course-2:695eee7cd1ffcad5,course-2,Курс 2,file,2 course/4 sem/XML/Лабы 2023-2024 год/node_modules/es-define-property/tsconfig.json,tsconfig.json,,,0,TRUE,,active
